date,station_name,station_depth_m,sample_depth_m,sample_depth_category,time,lat,lon,wind_speed,wave_height,sky,secchi_depth,ctd_temp,ctd_specific_conductivity,ctd_beam_attenuation,ctd_transmission,ctd_dissolved_oxygen,ctd_par,turbidity,particulate_microcystin,dissolved_microcystin,extracted_phycocyanin,extracted_chla,total_p,total_dissolved_p,soluble_reactive_p,ammonia,nitrate_nitrite,particulate_organic_c,particulate_organic_n,cdom,tss,vss
6/16/2020,WE2,6.18,0.75,Surface,8:45,41.7637,-83.3286,,,sunny,0.2,20.3,323.7,,,7.6,,111,<0.1,0.13,0.42,2.43,,,,,,,,,,
6/16/2020,WE2,,5.5,Bottom,,,,,,,,20.3,316,,,7.61,,,<0.1,0.1,0.24,1.42,,,,,,,,,,
6/16/2020,WE6,3.45,0.75,Surface,9:58,41.7054,-83.3864,,,sunny,0.2,20.3,275.4,,,7.78,,75.2,<0.1,<0.1,0.03,1.46,,,,,,,,,,
6/16/2020,WE8,5.45,0.75,Surface,8:14,41.8349,-83.3587,,,sunny,0.2,20.6,309,,,7.68,,57.2,<0.1,<0.1,0.36,29.9,,,,,,,,,,
6/16/2020,WE8,,4.8,Bottom,,,,,,,,20.6,309,,,7.68,,,<0.1,0.1,0.5,2.2,,,,,,,,,,
6/16/2020,WE9,3.36,0.75,Surface,10:16,41.7176,-83.4225,,,sunny,0.2,21.7,442.4,,,7.02,,41.3,<0.1,0.1,0.36,29.9,,,,,,,,,,
6/16/2020,WE12,7.24,0.75,Surface,9:21,41.7026,-83.2527,,,sunny,0.2,20.2,259.3,,,7.69,,35.8,<0.1,<0.1,0.33,1.53,,,,,,,,,,
6/16/2020,WE12,,6.5,Bottom,,,,,,,,20.2,258.9,,,7.97,,,<0.1,0.11,0.24,10.19,,,,,,,,,,
6/29/2020,WE2,5.95,0.75,Surface,9:03,41.7632,-83.3295,,,sunny,1.5,24.2,302.4,2.1,59.6,9.18,1101.9,5.36,0.11,<0.1,5.73,21.73,,,,,,,,,,
6/29/2020,WE2,,5.2,Bottom,,,,,,,,23,273.6,2.8,49.5,8.57,9.3,,<0.1,<0.1,2.24,37.19,,,,,,,,,,
6/29/2020,WE6,3.4,0.75,Surface,10:07,41.7057,-83.3839,,,sunny,1.1,24.9,353,2.6,52,8.68,1526.2,6.8,0.62,<0.1,7.32,12.71,,,,,,,,,,
